IGS14     130000000W 52000000W 52 42000000N 78000000N 36   Mainland Canada      
  1  1    42.000000   230.000000   20.70    6.80   24.09    6.85    8.05    8.03
  1  2    43.000000   230.000000   19.00    5.59   23.23    5.59    7.97    6.61
  1  3    44.000000   230.000000   16.56    4.92   22.69    4.91    8.06    5.83
  1  4    45.000000   230.000000   13.83    4.61   21.87    4.60    8.25    5.46
  1  5    46.000000   230.000000   10.97    4.35   20.08    4.35    8.37    5.15
  1  6    47.000000   230.000000    7.57    3.97   16.60    3.97    8.10    4.71
  1  7    48.000000   230.000000    2.93    3.42   10.63    3.43    7.09    4.07
  1  8    49.000000   230.000000   -3.11    2.75    1.99    2.75    5.34    3.29
  1  9    50.000000   230.000000   -9.00    2.08   -7.58    2.09    3.56    2.48
  1 10    51.000000   230.000000  -11.86    1.85  -14.06    1.84    2.55    2.20
  1 11    52.000000   230.000000  -11.03    1.94  -15.45    1.92    2.21    2.27
  1 12    53.000000   230.000000   -9.72    1.84  -14.46    1.81    1.67    1.94
  1 13    54.000000   230.000000  -10.62    1.72  -13.32    1.71    2.08    1.99
  1 14    55.000000   230.000000  -11.28    1.60  -12.70    1.56    1.71    1.69
  1 15    56.000000   230.000000  -11.64    2.10  -12.80    2.03    1.55    2.10
  1 16    57.000000   230.000000  -12.06    2.35  -13.24    2.29    1.89    2.43
  1 17    58.000000   230.000000  -12.37    1.75  -13.76    1.63    2.16    1.40
  1 18    59.000000   230.000000  -12.83    1.78  -15.04    1.77    1.98    2.05
  1 19    60.000000   230.000000  -13.30    0.65  -15.30    0.68    1.07    1.09
  1 20    61.000000   230.000000  -15.48    0.79  -11.83    0.83   -2.02    1.18
  1 21    62.000000   230.000000  -16.03    1.60  -11.42    1.61   -0.19    1.93
  1 22    63.000000   230.000000  -15.61    1.28  -11.82    1.23    2.39    1.21
  1 23    64.000000   230.000000  -15.41    2.29  -12.13    2.24    2.60    2.37
  1 24    65.000000   230.000000  -15.16    2.70  -12.49    2.60    2.40    2.55
  1 25    66.000000   230.000000  -14.97    2.90  -12.82    2.76    2.02    2.64
  1 26    67.000000   230.000000  -14.85    2.95  -13.10    2.81    1.58    2.71
  1 27    68.000000   230.000000  -14.78    2.71  -13.33    2.55    1.11    2.27
  1 28    69.000000   230.000000  -14.73    2.65  -13.57    2.53    0.86    2.45
  1 29    70.000000   230.000000  -14.68    2.33  -13.74    2.22    0.64    2.12
  1 30    71.000000   230.000000  -14.57    2.03  -14.02    1.95    0.32    1.95
  1 31    72.000000   230.000000  -14.39    1.97  -14.29    1.92    0.01    2.10
  1 32    73.000000   230.000000  -14.18    2.21  -14.28    2.13   -0.08    2.29
  1 33    74.000000   230.000000  -13.94    2.91  -14.35    2.78   -0.13    3.17
  1 34    75.000000   230.000000  -13.70    3.67  -14.17    3.46   -0.10    4.09
  1 35    76.000000   230.000000  -13.51    4.38  -13.76    4.02   -0.03    4.94
  1 36    77.000000   230.000000  -13.37    4.97  -13.13    4.42    0.04    5.65
  1 37    78.000000   230.000000  -13.29    5.41  -12.29    4.60    0.07    6.16
  2  1    42.000000   231.500000   18.76    5.02   20.31    5.06    7.27    5.96
  2  2    43.000000   231.500000   17.03    4.21   19.76    4.21    7.18    5.01
  2  3    44.000000   231.500000   14.49    3.77   19.53    3.76    7.24    4.50
  2  4    45.000000   231.500000   11.88    3.59   19.01    3.57    7.46    4.27
  2  5    46.000000   231.500000    9.44    3.39   17.63    3.38    7.69    4.03
  2  6    47.000000   231.500000    6.71    3.02   14.82    3.02    7.63    3.60
  2  7    48.000000   231.500000    2.91    2.45    9.83    2.45    6.93    2.94
  2  8    49.000000   231.500000   -2.61    1.78    1.93    1.78    5.19    2.16
  2  9    50.000000   231.500000   -8.81    0.87   -7.69    0.87    3.25    1.18
  2 10    51.000000   231.500000  -12.06    0.50  -15.19    0.49    2.49    0.69
  2 11    52.000000   231.500000  -10.75    0.70  -14.64    0.68    2.80    0.98
  2 12    53.000000   231.500000  -10.38    1.27  -14.36    1.27    3.19    1.47
  2 13    54.000000   231.500000  -11.25    0.87  -13.45    0.87    2.84    1.00
  2 14    55.000000   231.500000  -12.01    0.82  -13.00    0.80    2.34    0.94
  2 15    56.000000   231.500000  -12.18    1.64  -13.17    1.60    2.01    1.77
  2 16    57.000000   231.500000  -12.37    1.89  -13.56    1.84    2.02    1.99
  2 17    58.000000   231.500000  -12.69    1.73  -14.16    1.68    2.08    1.79
  2 18    59.000000   231.500000  -13.23    1.44  -14.84    1.42    1.86    1.66
  2 19    60.000000   231.500000  -14.29    0.81  -14.68    0.82    1.11    1.12
  2 20    61.000000   231.500000  -15.84    0.67  -12.45    0.72   -0.72    1.05
